Date,AGRO,ALUA,BBAR,BMA,BYMA,CEPU,COME,CRES,CVH,EDN,GGAL,HARG,LOMA,MIRG,PAMP,SUPV,TECO2,TGNO4,TGSU2,TRAN,TXAR,VALO,YPFD
2023-04-03,32.380950927734375,219.89193725585938,448.1411437988281,621.5003051757812,28.43397331237793,206.34136962890625,10.125814437866211,194.3776092529297,955.9970092773438,171.4499969482422,364.28411865234375,266.1392517089844,550.629150390625,5204.77978515625,561.2000122070312,180.99192810058594,411.2339782714844,320.0114440917969,826.7177124023438,149.72967529296875,233.5708465576172,70.31015014648438,472.44000244140625
2023-04-04,32.761905670166016,226.46676635742188,445.3504333496094,612.404052734375,29.639982223510742,202.96554565429688,10.08290958404541,195.24649047851562,962.9970092773438,169.35000610351562,356.7384948730469,297.2392883300781,539.1052856445312,5183.2861328125,544.9500122070312,177.06040954589844,399.4260559082031,310.3141174316406,802.0681762695312,147.7112579345703,230.92665100097656,70.31015014648438,463.5799865722656
2023-04-05,32.80952453613281,236.6942901611328,444.2584533691406,610.078125,29.361669540405273,208.19113159179688,9.696754455566406,188.15057373046875,968.4970092773438,164.9499969482422,357.0151062011719,297.2392883300781,527.0487670898438,5177.7880859375,551.0499877929688,177.10777282714844,414.9208068847656,317.29620361328125,796.3613891601562,146.6103057861328,234.45223999023438,70.31015014648438,467.6050109863281
2023-04-10,33.61904525756836,234.01565551757812,456.0685729980469,603.390625,28.805051803588867,219.33596801757812,9.73966121673584,189.4539031982422,970.9970092773438,170.9499969482422,353.85467529296875,297.2392883300781,526.7098388671875,5151.79638671875,560.3499755859375,181.22877502441406,430.913818359375,334.3634948730469,810.0768432617188,154.3169708251953,235.77435302734375,69.78150939941406,494.32501220703125
2023-04-11,32.71428680419922,234.25917053222656,485.7154846191406,622.2063598632812,28.5731258392334,224.60780334472656,10.040003776550293,189.52630615234375,981.4969482421875,175.9499969482422,366.57550048828125,297.2392883300781,527.2908325195312,5098.81396484375,553.7999877929688,184.2129364013672,435.2981872558594,344.4486999511719,830.8898315429688,166.2439727783203,236.65576171875,69.42906951904297,496.4949951171875
2023-04-12,33.19047546386719,232.55459594726562,501.4892883300781,647.3771362304688,28.5731258392334,227.1974639892578,10.619233131408691,198.5048065185547,1002.4968872070312,177.9499969482422,389.6074523925781,297.2392883300781,545.15771484375,5114.80908203125,581.0499877929688,189.8970489501953,442.7216796875,348.3276062011719,859.5676879882812,166.06048583984375,239.7406463623047,69.5171890258789,499.95001220703125
2023-04-13,33.523807525634766,235.4767303466797,511.0751037597656,670.6372680664062,28.52674102783203,230.2958221435547,10.769405364990234,203.10269165039062,1032.496826171875,186.25,395.0987548828125,297.2392883300781,550.1449584960938,5176.2880859375,596.75,190.51283264160156,440.38006591796875,345.61236572265625,871.4608154296875,172.4827117919922,245.029052734375,69.5171890258789,496.2699890136719
2023-04-14,34.14285659790039,237.1813201904297,537.4862670898438,693.7725830078125,30.032575607299805,236.8625030517578,11.048293113708496,206.32481384277344,1061.4967041015625,194.6999969482422,404.26416015625,297.2392883300781,551.3070068359375,5243.7666015625,604.25,199.89163208007812,458.1168212890625,358.0249328613281,879.8052368164062,176.15255737304688,247.23252868652344,69.95772552490234,502.2149963378906
2023-04-17,35.71428680419922,243.8939971923828,551.2378540039062,714.0005493164062,30.460254669189453,245.27894592285156,11.155558586120605,206.94027709960938,1088.49658203125,197.39999389648438,418.17022705078125,297.2392883300781,547.1429443359375,5486.685546875,617.75,206.09681701660156,462.1524353027344,374.31640625,896.4461059570312,186.42811584472656,249.87673950195312,73.9225845336914,504.6400146484375
2023-04-18,37.19047546386719,248.12049865722656,557.2238159179688,708.7672119140625,31.268095016479492,241.48692321777344,11.370088577270508,205.7817840576172,1071.4967041015625,195.39999389648438,414.8517150878906,297.2392883300781,563.3151245117188,5453.697265625,625.7999877929688,201.5968780517578,462.2520751953125,378.19537353515625,909.0105590820312,189.73098754882812,255.16513061523438,76.56581115722656,519.469970703125
